행정구역,연도,구분,인구수
경기도 안산시 단원구 초지동,2017,남,21811
경기도 안산시 단원구 초지동,2017,남+여,42637
경기도 안산시 단원구 초지동,2017,여,20826
경기도 안산시 단원구 초지동,2018,남,21602
경기도 안산시 단원구 초지동,2018,남+여,42217
경기도 안산시 단원구 초지동,2018,여,20615
경기도 안산시 단원구 초지동,2019,남,24552
경기도 안산시 단원구 초지동,2019,남+여,47944
경기도 안산시 단원구 초지동,2019,여,23392
경기도 안산시 단원구 초지동,2020,남,24127
경기도 안산시 단원구 초지동,2020,남+여,47015
경기도 안산시 단원구 초지동,2020,여,22888
경기도 안산시 단원구 초지동,2021,남,24090
경기도 안산시 단원구 초지동,2021,남+여,46921
경기도 안산시 단원구 초지동,2021,여,22831
경기도 안산시 단원구 초지동,2022,남,23912
경기도 안산시 단원구 초지동,2022,남+여,46508
경기도 안산시 단원구 초지동,2022,여,22596
경기도 안산시 단원구 초지동,2023,남,23428
경기도 안산시 단원구 초지동,2023,남+여,45838
경기도 안산시 단원구 초지동,2023,여,22410
경기도 안산시 단원구 초지동,2024,남,23218
경기도 안산시 단원구 초지동,2024,남+여,45437
경기도 안산시 단원구 초지동,2024,여,22219
경기도 안산시 단원구 초지동,2025,남,23498
경기도 안산시 단원구 초지동,2025,남+여,45944
경기도 안산시 단원구 초지동,2025,여,22446
경기도 안산시 단원구 호수동,2016,남,24529
경기도 안산시 단원구 호수동,2016,남+여,48872
경기도 안산시 단원구 호수동,2016,여,24343
경기도 안산시 단원구 호수동,2017,남,24342
경기도 안산시 단원구 호수동,2017,남+여,48388
경기도 안산시 단원구 호수동,2017,여,24046
경기도 안산시 단원구 호수동,2018,남,23492
경기도 안산시 단원구 호수동,2018,남+여,46653
경기도 안산시 단원구 호수동,2018,여,23161
경기도 안산시 단원구 호수동,2019,남,23145
경기도 안산시 단원구 호수동,2019,남+여,46080
경기도 안산시 단원구 호수동,2019,여,22935
경기도 안산시 단원구 호수동,2020,남,22209
경기도 안산시 단원구 호수동,2020,남+여,44212
경기도 안산시 단원구 호수동,2020,여,22003
경기도 안산시 단원구 호수동,2021,남,21946
경기도 안산시 단원구 호수동,2021,남+여,43745
경기도 안산시 단원구 호수동,2021,여,21799
경기도 안산시 단원구 호수동,2022,남,21686
경기도 안산시 단원구 호수동,2022,남+여,43090
경기도 안산시 단원구 호수동,2022,여,21404
경기도 안산시 단원구 호수동,2023,남,21527
경기도 안산시 단원구 호수동,2023,남+여,42772
경기도 안산시 단원구 호수동,2023,여,21245
경기도 안산시 단원구 호수동,2024,남,21234
경기도 안산시 단원구 호수동,2024,남+여,42215
경기도 안산시 단원구 호수동,2024,여,20981
경기도 안산시 단원구 호수동,2025,남,21062
경기도 안산시 단원구 호수동,2025,남+여,41810
경기도 안산시 단원구 호수동,2025,여,20748
경기도 안산시 상록구 반월동,2016,남,10290
경기도 안산시 상록구 반월동,2016,남+여,20266
경기도 안산시 상록구 반월동,2016,여,9976
경기도 안산시 상록구 반월동,2017,남,10011
경기도 안산시 상록구 반월동,2017,남+여,19719
경기도 안산시 상록구 반월동,2017,여,9708
경기도 안산시 상록구 반월동,2018,남,9671
경기도 안산시 상록구 반월동,2018,남+여,19086
경기도 안산시 상록구 반월동,2018,여,9415
경기도 안산시 상록구 반월동,2019,남,9381
경기도 안산시 상록구 반월동,2019,남+여,18549
경기도 안산시 상록구 반월동,2019,여,9168
경기도 안산시 상록구 반월동,2020,남,9113
경기도 안산시 상록구 반월동,2020,남+여,18085
경기도 안산시 상록구 반월동,2020,여,8972
경기도 안산시 상록구 반월동,2021,남,8837
경기도 안산시 상록구 반월동,2021,남+여,17516
경기도 안산시 상록구 반월동,2021,여,8679
경기도 안산시 상록구 반월동,2022,남,8636
경기도 안산시 상록구 반월동,2022,남+여,17162
경기도 안산시 상록구 반월동,2022,여,8526
경기도 안산시 상록구 반월동,2023,남,8476
경기도 안산시 상록구 반월동,2023,남+여,16831
경기도 안산시 상록구 반월동,2023,여,8355
경기도 안산시 상록구 반월동,2024,남,8360
경기도 안산시 상록구 반월동,2024,남+여,16559
경기도 안산시 상록구 반월동,2024,여,8199
경기도 안산시 상록구 반월동,2025,남,8927
경기도 안산시 상록구 반월동,2025,남+여,17718
경기도 안산시 상록구 반월동,2025,여,8791
경기도 안산시 상록구 본오1동,2016,남,22369
경기도 안산시 상록구 본오1동,2016,남+여,43591
경기도 안산시 상록구 본오1동,2016,여,21222
경기도 안산시 상록구 본오1동,2017,남,22185
